,primary_key,altura_agua,horario,data_particao
0,2_2023-04-09 20:50:00,0.0,20:50:00,2023-04-09
1,1_2023-04-09 17:49:00,0.0,17:49:00,2023-04-09
2,6_2023-04-09 06:49:00,0.0,06:49:00,2023-04-09
3,6_2023-04-09 12:59:00,0.0,12:59:00,2023-04-09
4,1_2023-04-09 16:30:00,0.0,16:30:00,2023-04-09
5,5_2023-04-09 12:31:00,0.0,12:31:00,2023-04-09
6,6_2023-04-09 16:19:00,0.0,16:19:00,2023-04-09
7,1_2023-04-09 00:29:00,0.0,00:29:00,2023-04-09
8,5_2023-04-09 07:20:00,0.0,07:20:00,2023-04-09
9,6_2023-04-09 12:51:00,0.0,12:51:00,2023-04-09
10,5_2023-04-09 19:40:00,0.0,19:40:00,2023-04-09
11,6_2023-04-09 20:57:00,0.0,20:57:00,2023-04-09
12,6_2023-04-09 15:09:00,0.0,15:09:00,2023-04-09
13,6_2023-04-09 23:09:00,0.0,23:09:00,2023-04-09
14,1_2023-04-09 03:49:00,0.0,03:49:00,2023-04-09
15,1_2023-04-09 12:10:00,0.0,12:10:00,2023-04-09
16,6_2023-04-09 22:20:00,0.0,22:20:00,2023-04-09
17,2_2023-04-09 05:30:00,0.0,05:30:00,2023-04-09
18,6_2023-04-09 01:49:00,0.0,01:49:00,2023-04-09
19,2_2023-04-09 20:40:00,0.0,20:40:00,2023-04-09
20,5_2023-04-09 02:40:00,0.0,02:40:00,2023-04-09
21,6_2023-04-09 19:20:00,0.0,19:20:00,2023-04-09
22,5_2023-04-09 16:29:00,0.0,16:29:00,2023-04-09
23,5_2023-04-09 19:49:00,0.0,19:49:00,2023-04-09
24,6_2023-04-09 03:10:00,0.0,03:10:00,2023-04-09
25,6_2023-04-09 04:59:00,0.0,04:59:00,2023-04-09
26,1_2023-04-09 06:41:00,0.0,06:41:00,2023-04-09
27,1_2023-04-09 16:20:00,0.0,16:20:00,2023-04-09
28,6_2023-04-09 00:09:00,0.0,00:09:00,2023-04-09
29,6_2023-04-09 00:39:00,0.0,00:39:00,2023-04-09
30,2_2023-04-09 22:39:00,0.0,22:39:00,2023-04-09
31,1_2023-04-09 16:00:00,0.0,16:00:00,2023-04-09
32,1_2023-04-09 19:40:00,0.0,19:40:00,2023-04-09
33,6_2023-04-09 11:40:00,0.0,11:40:00,2023-04-09
34,1_2023-04-09 18:29:00,0.0,18:29:00,2023-04-09
35,1_2023-04-09 16:50:00,0.0,16:50:00,2023-04-09
